url_length,hostname_length,ip,total_of.,total_of-,total_of@,total_of?,total_of&,total_of=,total_of_,total_of~,total_of%,total_of/,total_of*,total_of:,"total_of,",total_of;,total_of$,total_of_www,total_of_com,total_of_http_in_path,https_token,ratio_digits_url,ratio_digits_host,punycode,port,tld_in_path,tld_in_subdomain,abnormal_subdomain,nb_subdomains,prefix_suffix,random_domain,shortening_service,path_extension,nb_redirection,nb_external_redirection,length_words_raw,char_repeat,shortest_words_raw,shortest_word_host,shortest_word_path,longest_words_raw,longest_word_host,longest_word_path,avg_words_raw,avg_word_host,avg_word_path,phish_hints,domain_in_brand,brand_in_subdomain,brand_in_path,suspecious_tld,statistical_report,nb_hyperlinks,ratio_intHyperlinks,ratio_extHyperlinks,nb_extCSS,ratio_extRedirection,ratio_extErrors,login_form,external_favicon,links_in_tags,ratio_intMedia,ratio_extMedia,iframe,popup_window,safe_anchor,onmouseover,right_clic,empty_title,domain_in_title,domain_with_copyright,whois_registered_domain,domain_registration_length,domain_age,web_traffic,dns_record,google_index,page_rank,status
65,16,0,2,0,0,0,0,0,5,0,0,4,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,9,1,2,2,2,13,9,13,5.0,5.5,4.857142857,0,1,0,0,0,0,822,0.903892944,0.096107056,0,0.291139241,0.050632911,0,0,100.0,100.0,0.0,0,0,63.92694064,0,0,0,0,0,0,901,7133,12,0,0,7,0
72,14,0,4,0,0,0,0,0,1,1,0,8,0,1,0,0,0,1,0,0,1,0.138888889,0.0,0,0,0,0,0,3,0,0,0,0,0,0,11,4,2,2,3,9,3,9,4.636363636,2.666666667,5.375,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,1,1,1,0,0,11317,54663,0,0,5,0
34,26,1,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,1,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,2,4,3,3,0,15,15,0,9.0,9.0,0.0,0,0,0,0,0,0,39,0.923076923,0.076923077,0,0.333333333,0.0,0,0,92.30769231,100.0,0.0,0,0,60.0,0,0,0,1,0,0,0,4003,0,0,0,1,0
67,17,0,3,1,0,0,0,0,0,0,0,7,0,1,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,3,1,1,0,0,1,0,9,3,3,3,3,9,5,9,5.222222222,3.666666667,6.0,0,0,0,0,0,0,477,0.962264151,0.037735849,2,0.0,0.0,0,1,98.01324503,100.0,0.0,0,0,64.51612903,0,0,0,0,0,0,0,4003,127,0,1,6,0
45,15,1,1,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,4,0,6,12,6,12,12,7,8.0,12.0,6.666666667,0,0,0,0,1,0,12,1.0,0.0,0,0.0,0.0,0,0,100.0,0.0,0.0,0,0,0.0,0,0,0,1,0,0,155,4003,8116481,0,1,0,1
36,17,0,2,1,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,0,0,1,0,4,3,2,3,2,9,9,8,5.5,6.0,5.0,0,0,0,0,0,0,54,0.759259259,0.240740741,0,0.461538462,0.076923077,0,0,93.75,50.0,50.0,0,1,0.0,0,0,0,1,1,0,226,8906,1546,0,0,6,0
54,15,1,2,4,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,0,0,2,0,7,5,3,3,3,9,7,9,5.285714286,5.0,5.4,0,0,0,0,0,0,170,0.935294118,0.064705882,0,0.090909091,0.090909091,0,1,77.77777778,92.30769231,7.692307692,0,0,93.25842697,0,0,0,1,0,0,1418,5887,184,0,0,6,0
57,16,0,3,2,0,0,0,0,0,0,0,5,0,1,0,0,0,1,0,0,0,0.087719298,0.0625,0,0,0,0,0,3,0,0,0,0,0,0,7,3,3,3,4,8,8,7,5.428571429,5.5,5.4,0,0,0,0,0,0,219,0.652968037,0.347031963,1,0.210526316,0.592105263,0,1,30.76923077,100.0,0.0,0,0,42.85714286,0,0,0,1,1,0,83,4299,845679,0,0,5,0
62,8,1,1,3,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0.096774194,0.0,0,0,1,0,0,1,0,1,0,0,0,0,7,0,2,5,2,14,5,14,6.428571429,5.0,6.666666667,0,0,0,0,0,0,43,0.813953488,0.186046512,0,0.0,0.0,0,0,100.0,0.0,0.0,0,0,38.46153846,0,0,0,0,0,0,164,4003,842241,0,0,4,0
44,25,1,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,0,0,1,0,3,5,3,3,11,17,17,11,10.33333333,10.0,11.0,0,0,0,0,0,0,212,0.863207547,0.136792453,0,0.24137931,0.0,0,1,61.53846154,100.0,0.0,0,0,53.125,0,0,0,1,1,0,2505,6260,684,0,0,6,0
