length_url,length_hostname,ip,nb_dots,nb_hyphens,nb_at,nb_qm,nb_and,nb_eq,nb_underscore,nb_tilde,nb_percent,nb_slash,nb_colon,nb_comma,nb_semicolumn,nb_space,nb_www,nb_com,nb_dslash,http_in_path,https_token,ratio_digits_url,ratio_digits_host,port,tld_in_path,tld_in_subdomain,abnormal_subdomain,nb_subdomains,prefix_suffix,shortening_service,length_words_raw,char_repeat,shortest_words_raw,shortest_word_host,shortest_word_path,longest_words_raw,longest_word_host,longest_word_path,avg_words_raw,avg_word_host,avg_word_path,phish_hints,domain_in_brand,brand_in_subdomain,brand_in_path,suspecious_tld,statistical_report,nb_extCSS,login_form,popup_window,empty_title,domain_in_title,domain_with_copyright,status
21,13,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,1,0.142857143,0.230769231,0,0,0,0,2,0,0,2,3,3,3,0,5,5,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0
46,20,0,3,0,0,1,0,1,0,0,0,3,1,0,0,0,1,0,0,0,1,0.108695652,0,0,0,0,0,3,0,0,6,3,2,3,2,12,12,5,5,7.5,3.75,0,0,0,0,0,0,1,0,0,0,1,1,1
28,19,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,3,3,0,11,11,0,7,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0
128,120,0,10,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0.0546875,0.058333333,0,0,0,0,3,0,0,10,6,2,2,0,35,35,0,10.7,10.7,0,2,0,0,0,0,0,0,0,0,1,1,0,1
35,22,0,2,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,3,3,3,3,4,14,14,4,7,8.5,4,0,0,0,0,0,0,0,0,0,0,0,1,0
52,25,0,3,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,5,5,3,3,3,17,17,9,7.4,10,5.666666667,0,0,0,0,0,0,0,0,0,0,1,0,1
22,15,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,2,3,3,3,0,8,8,0,5.5,5.5,0,0,0,0,0,0,0,2,0,0,0,1,1,0
128,50,1,4,1,0,1,2,3,2,0,0,5,1,0,0,0,0,1,0,0,0,0.1171875,0,0,0,1,0,3,1,0,13,4,2,3,2,17,13,17,7.769230769,8.4,7.375,0,0,0,0,0,0,0,0,0,0,1,1,1
39,30,0,2,2,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,4,3,3,3,0,9,9,0,6,6,0,0,0,0,0,0,0,1,0,0,0,1,1,0
50,15,0,2,0,0,1,0,1,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,6,3,3,3,3,9,7,9,5.333333333,5,5.5,0,0,0,0,0,0,0,0,0,0,1,0,1
56,15,0,2,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0.071428571,0,0,0,0,0,2,0,0,4,4,3,3,7,24,7,24,10.25,5,15.5,0,1,0,0,0,0,0,0,0,1,1,1,0
51,14,0,5,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,6,2,3,7,3,7,7,7,5.333333333,7,5,3,0,0,1,0,0,0,0,0,0,1,0,1
40,17,0,3,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,6,3,1,3,1,9,9,4,4,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0
57,14,0,3,1,0,0,0,0,0,0,0,7,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,3,1,0,8,3,2,3,2,8,7,8,4.875,5,4.833333333,3,0,0,0,0,0,19,1,0,0,1,0,1
62,16,0,2,2,0,0,0,0,0,0,0,7,1,0,0,0,1,0,0,0,0,0.080645161,0,0,0,0,0,2,0,0,8,6,2,3,2,9,8,9,5.25,5.5,5.166666667,0,0,0,0,0,0,0,0,0,0,1,1,0
44,18,0,3,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,4,0,4,11,4,11,11,7,6.75,11,5.333333333,0,0,0,0,0,0,0,0,0,1,1,0,1
62,17,0,2,5,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,1,0.016129032,0,0,0,0,0,2,0,0,9,5,3,3,3,9,9,7,4.666666667,6,4.285714286,0,0,0,0,0,0,1,1,0,0,1,0,0
28,21,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0.035714286,0.047619048,0,0,0,0,2,0,1,2,0,8,8,0,8,8,0,8,8,0,0,1,0,0,0,0,0,0,0,0,1,0,1
24,16,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,2,3,3,3,0,8,8,0,5.5,5.5,0,0,0,0,0,0,0,3,0,0,0,1,0,0
110,30,0,2,1,0,1,0,1,0,0,0,6,3,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,2,1,1,9,1,1,2,1,46,12,46,9.777777778,8,10.66666667,0,0,0,0,0,0,0,0,0,0,1,0,1
26,17,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,3,3,0,10,10,0,6.5,6.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0
69,20,0,2,1,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,7,0,3,3,3,15,12,15,7.428571429,7.5,7.4,1,0,0,0,1,0,0,1,0,0,1,1,1
33,24,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,2,3,3,3,0,16,16,0,9.5,9.5,0,0,0,0,0,0,0,1,1,0,0,1,1,0
45,10,1,2,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0.222222222,0,0,0,0,0,2,1,0,5,0,3,3,3,12,3,12,6.2,3,8.333333333,0,0,0,0,0,0,0,0,0,0,1,0,1
36,29,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,1,6,6,0,9,9,0,7.666666667,7.666666667,0,0,1,0,0,0,0,1,0,0,0,1,0,0
31,23,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,3,6,6,0,12,12,0,9,9,0,0,0,0,0,0,0,0,0,0,0,1,1,1
55,18,0,4,1,0,0,0,0,1,0,0,5,1,0,0,0,0,0,0,0,1,0.109090909,0,0,0,0,0,3,1,0,9,1,2,3,2,8,5,8,4,4,4,0,0,0,0,0,0,0,0,0,1,1,1,0
96,7,0,3,0,0,1,1,2,0,0,6,3,1,0,0,0,1,0,0,1,0,0.114583333,0,0,0,0,0,3,0,0,13,5,2,4,2,22,4,22,5.538461538,4,5.666666667,1,0,0,0,0,0,0,0,0,0,1,0,1
25,16,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,3,3,0,9,9,0,6,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21,12,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7,7,0,7,7,0,7,7,0,0,0,0,0,1,0,0,0,0,0,1,0,1
59,20,0,4,0,0,1,0,1,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,7,3,3,3,4,12,12,7,5.714285714,7.5,5,1,0,0,0,0,0,0,0,0,0,1,0,0
53,35,1,4,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0.264150943,0.4,0,0,0,0,3,0,1,6,2,1,1,3,18,18,5,6,7,4,0,0,0,0,0,0,1,0,0,0,1,1,1
27,19,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,2,4,3,3,0,12,12,0,7.5,7.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0
68,59,0,4,7,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0.088235294,0.101694915,0,0,0,0,3,0,1,11,3,1,1,0,7,7,0,4.090909091,4.090909091,0,0,0,0,0,0,0,0,0,0,0,1,0,1
44,17,0,3,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,5,4,3,3,3,9,9,9,5.6,6,5.333333333,0,0,0,0,0,0,1,1,0,0,1,1,0
29,21,0,2,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0.068965517,0.095238095,0,0,0,0,2,1,0,3,1,4,4,0,8,8,0,5.333333333,5.333333333,0,0,0,0,0,0,0,1,0,0,0,1,1,1
47,18,0,2,0,0,0,0,0,0,0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,5,3,3,3,4,10,10,7,6,6.5,5.666666667,0,0,0,0,0,0,2,0,0,0,0,0,0
68,18,0,6,0,1,1,0,1,0,0,0,5,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,0,0,11,3,2,3,2,7,7,5,4,5,3.777777778,1,0,0,0,0,0,0,0,0,0,1,0,1
32,24,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,2,1,8,8,0,11,11,0,9.5,9.5,0,0,1,0,0,0,0,4,0,0,0,1,1,0
61,24,0,3,0,0,0,0,0,0,0,0,6,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,7,3,1,3,1,16,16,8,6.285714286,9.5,5,1,0,0,0,0,1,0,0,0,1,1,0,1
