url,label,source_group,split,form_fingerprint_distance_before_after,credential_role_transition_distance_norm,credential_role_consumption_ratio,role_preservation_ratio,secret_clear_ratio,identifier_persistence_ratio,decoy_input_clear_ratio,hidden_mutation_intensity,validation_signal_ratio,post_submit_retry_consistency_index,credential_flow_consumption_index,secret_only_clear_score,form_count_delta,visible_input_count_delta,fillable_input_count_delta,credential_field_count_delta,credential_role_l1_delta,credential_role_consumed_count,credential_role_added_count,sensitive_role_escalation_score,identifier_field_count_delta,secret_field_count_delta,otp_field_count_delta,card_field_count_delta,hidden_total_delta_count,response_text_delta_len,visible_text_distance_before_after,invalid_warning_detected,required_field_warning_detected,account_not_found_detected,password_error_detected,wrong_code_detected,captcha_or_mfa_detected,same_credential_requested_again,credential_form_reappeared,new_page_without_error,success_like_transition,otp_page_transition,loading_or_processing_detected,thank_you_or_completed_detected,login_form_removed,no_invalid_warning,response_title_changed,visible_form_fingerprint_changed,hidden_form_fingerprint_changed,form_action_changed_after_submit,form_method_changed_after_submit,form_handler_changed_after_submit,submit_handler_changed_after_submit,hidden_decoy_value_present,resp_invalid_any,resp_retry_evidence_score,resp_consume_evidence_score,handler_mutation_score,resp_consume_minus_retry,retry_but_form_changed_score,retry_but_hidden_changed_score,consume_without_handler_mutation_score,validation_near_zero_but_state_changed
http://10.0.2.2/phishing-kit/b0475f55bc4292f41384b8e6e530a829/c/index.php,phishing,kit:b0475f55bc4292f41384b8e6e530a829,test,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.3333,0.8333,0.0031,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0.0154,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,-0.75,0.0,0.0,0.0,0.0
http://10.0.2.2/phishing-kit/www.businessdomain101.com_chase2021.zip_de70726655411ed98225/chase/index.php,phishing,kit:www.businessdomain101.com_chase2021.zip_de70726655411ed98225,test,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.3333,0.8333,0.0029,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0.0143,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,-0.75,0.0,0.0,0.0,0.0
http://10.0.2.2/phishing-kit/1bf2814b0cd159fbd76c07bb27951cf3/mbt/index.php,phishing,kit:1bf2814b0cd159fbd76c07bb27951cf3,test,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.75,0.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.1666666666666666,0.0,-0.0833333333333333,0.0,0.0,0.1666666666666666,0.0
http://10.0.2.2/phishing-kit/fd1e42cd4cf95271700ee208f015ce2b/Stream/forms-basic.html,phishing,kit:fd1e42cd4cf95271700ee208f015ce2b,test,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.5,0.625,0.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,-0.75,0.0,0.0,0.0,0.0
http://10.0.2.2/phishing-kit/a08acc3b773ecec26de8c2f8a2418031/ScamPage-master/twitter/login.html,phishing,kit:a08acc3b773ecec26de8c2f8a2418031,test,0.9953,1.0,1.0,0.0,1.0,0.0,1.0,0.4444,0.0,0.0012,0.9824,0.0,-6,-3,-2,-2,2,2,0,0,-1,-1,0,0,24,125,0.9167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0
http://10.0.2.2/phishing-kit/07bfb80c4c7ebb18f520823e9b541389/sh/I489c5/royalbank/index.php,phishing,kit:07bfb80c4c7ebb18f520823e9b541389,test,0.887,0.5,0.5,0.5,0.0,0.0,1.0,0.3115,0.3333,0.2366,0.6522,0.0,-10,5,4,0,2,1,1,0,1,0,0,-1,38,325,0.8739,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.75,0.1666666666666666,1.0,-0.5833333333333334,0.66525,0.233625,0.0,0.0
http://10.0.2.2/phishing-kit/16da7f6af17275bfb553410794e85e84/sh/I489c5/royalbank/index.php,phishing,kit:16da7f6af17275bfb553410794e85e84,test,0.887,0.5,0.5,0.5,0.0,0.0,1.0,0.3115,0.3333,0.2366,0.6522,0.0,-10,5,4,0,2,1,1,0,1,0,0,-1,38,325,0.8739,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.75,0.1666666666666666,1.0,-0.5833333333333334,0.66525,0.233625,0.0,0.0
http://10.0.2.2/phishing-kit/2385748bc949bdccc7d9e05d7fd3a493/sh/I489c5/royalbank/index.php,phishing,kit:2385748bc949bdccc7d9e05d7fd3a493,test,0.887,0.5,0.5,0.5,0.0,0.0,1.0,0.3115,0.3333,0.2366,0.6522,0.0,-10,5,4,0,2,1,1,0,1,0,0,-1,38,325,0.8739,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.75,0.1666666666666666,1.0,-0.5833333333333334,0.66525,0.233625,0.0,0.0
http://10.0.2.2/phishing-kit/6ef6802f016d45336d36d880e9f0fbc3/etc/pages/RBC/authentication/html/roblogin.html,phishing,kit:6ef6802f016d45336d36d880e9f0fbc3,test,0.9669,1.0,1.0,0.0,1.0,0.0,1.0,0.2743,0.0,0.0083,0.989,0.0,-10,-5,-4,-2,2,2,0,0,0,-1,0,-1,31,-2339,0.9779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0
http://10.0.2.2/phishing-kit/bbacf17a6f27b02b295d1ff5b509a4e5/sh/I489c5/royalbank/index.php,phishing,kit:bbacf17a6f27b02b295d1ff5b509a4e5,test,0.887,0.5,0.5,0.5,0.0,0.0,1.0,0.3115,0.3333,0.2366,0.6522,0.0,-10,5,4,0,2,1,1,0,1,0,0,-1,38,325,0.8739,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.75,0.1666666666666666,1.0,-0.5833333333333334,0.66525,0.233625,0.0,0.0
